AlDafrahTV.ae@SD|الظفرة
AlhayatTV.eg@SD|الحياة
AlIraqia.iq@SD|العراقية
AlJadeed.lb@SD|الجديد
AlKaheraWalNas.eg@SD|القاهرة والناس
AlKaheraWalNas2.eg@SD|القاهرة والناس 2
AlMasriyah.eg@SD|المصرية
AlNahar.eg@SD|النهار
AlNaharDrama.eg@SD|النهار دراما
AlRasheedTV.iq@SD|الرشيد
AlSaeedah.eg@SD|السعيدة
AlSaudiya.sa@SD|السعودية
AlSharqiyaMinKabla.ae@SD|الشرقية
Alsumaria.iq@SD|السومرية
Althania.sy@SD|الثانية
AmmanTV.jo@SD|عَمان
beINDrama1.qa@SD|بي إن دراما
beINSeries2.qa@SD|بي إن سيريس إتش...
CBC.eg@SD|سي بي سي
CBCDrama.eg@SD|سي بي سي دراما
Cima.eg@SD|سيما
DijlahTV.iq@SD|دجلة
DMCDrama.eg@SD|دي إم سي دراما
EchoroukTV.dz@SD|الشروق الجزائرية
ElMehwarChannel.eg@SD|المحور
ERTU1.eg@SD|قناة مصر الأولى
FujairahTV.ae@SD|الفجيرة
HadhramautTV.ye@SD|تلفزيون حضرموت
iFilmArabic.ir@SD|آي فيلم
JordanTV.jo@SD|الأردن
LanaTV.lb@SD|ال تي في
LBC.sa@SD|إل بي سي
LBCInternational.lb@SD|إل بي سي آي
Masah.sa@SD|ماسة
MasperoZaman.eg@SD|ماسبيرو زمان
MBC2.ae@SD|إم بي سي 2
MBCAction.ae@SD|إم بي سي أكشن
MBCMasrDrama.sa@SD|إم بي سي مصر دراما
MBCMax.ae@SD|إم بي سي ماكس
MixBelAraby.eg@SD|ميكس بالعربي
MTV.lb@SD|إم تي في
NessmaElJadida.tn@SD|نسمة
NileDrama.eg@SD|نايل دراما
NileLife.eg@SD|نايل لايف
OnDrama.eg@SD|أون دراما
OnE.eg@SD|أون إي
SadaElbalad.eg@SD|صدى البلد
SadaElbalad2.eg@SD|صدى البلد 2
SadaElbaladDrama.eg@SD|صدى البلد دراما
SamaDubai.ae@SD|سما دبي
SBC.sa@SD|إس بي سي
SharjahTV.ae@SD|الشارقة
TeN.eg@SD|تن
ThikrayatTV.sa@SD|ذكريات
UTV.iq@SD|يو تي في
ZeeAlwan.ae@SD|زي ألوان
